myneta_id,name,constituency,district,party,age,education,criminal_cases,criminal_details,movable_self,movable_spouse,movable_dependents,movable_total,immovable_self,immovable_spouse,immovable_dependents,immovable_total,total_assets,liabilities,affidavit_url
2,S.kandasamy,VILLIVAKKAM,CHENNAI,IND,51,10th Pass,0,,30000,0,0,30000,0,0,0,0,30000,0,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=2
3,Jayaraj K,HARBOUR,CHENNAI,Peoples Party of India(secular),42,10th Pass,0,,12000,0,0,12000,0,0,0,0,12000,0,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=3
4,Dhenagaran @ Dharma Dhenagaran,KANCHEEPURAM,KANCHEEPURAM,Gandhiya Makkal Iyakkam,41,Graduate,0,,1079300,3703,0,1079670,2600000,0,0,2600000,3679670,395500,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=4
5,Venkatesan M,ULUNDURPETTAI,VILLUPURAM,L,44,Graduate,0,,66171,66100,169772,302043,480000,0,0,480000,782043,57500,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=5
6,Dr.k.padmarajan,METTUR,SALEM,IND,55,Post Graduate,0,,115900,0,0,115900,1400000,0,0,1400000,1515900,48000,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=6
7,N.nanthakumar,METTUR,SALEM,IND,38,8th Pass,0,,493000,0,0,493000,669910,0,0,669910,1162910,154000,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=7
8,R.kuppayee,EDAPPADI,SALEM,IND,36,12th Pass,0,,200000,0,0,200000,0,0,0,0,200000,0,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=8
11,Palanivel.k,SALEM (NORTH),SALEM,IND,59,5th Pass,0,,0,0,0,0,200000,0,0,200000,200000,0,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=11
12,Vellakkannu,SIVAGANGA,SIVAGANGAI,Ezhuchi Tamilargal Munnetra Kazhagam,35,5th Pass,0,,100000,0,0,100000,0,0,0,0,100000,0,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=12
13,Anbumani G,SANKARANKOVIL,TIRUNELVELI,DMK,44,12th Pass,1,"143, 188, 285",998613,153409,1415605,2567627,250000,1700000,0,1950000,4517627,0,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=13
15,Dharmaraj C,VILAVANCODE,KANNIYAKUMARI,BJP,50,10th Pass,2,"147, 427, 323, 452, 379, 506(i); 147, 148, 294(b), 153(A), 506(ii),",87569,319202,0,406771,2500000,0,0,2500000,2906771,210000,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=15
17,Sheeba Prasad Su,PADMANABHAPURAM,KANNIYAKUMARI,BJP,43,Post Graduate,0,,30111,999471,0,1029582,1400000,8100000,8000000,17500000,18529582,3116302,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=17
20,Abraham Rajamohan.r,DR.RADHAKRISHNAN NAGAR,CHENNAI,Peoples Party of India(secular),68,Graduate,0,,29100,12000,0,41100,0,0,0,0,41100,0,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=20
21,Ravi Parayanar.d,DR.RADHAKRISHNAN NAGAR,CHENNAI,A,39,10th Pass,0,,68000,0,0,68000,0,0,0,0,68000,0,https://myneta.info/TamilNadu2016/candidate.php?candidate_id=21
