myneta_id,name,constituency,party,age,education,criminal_cases,criminal_details,movable_total,immovable_total,total_assets,liabilities,affidavit_url
2342,K.Rajasekar,NAGAPATTINAM,Puthiya Tamilagam,38,8th Pass,0,,682054,400000,1082054,500000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2342
2343,Vallabadas.E,NAGAPATTINAM,Tamizhaga Vaazhvurimai Katchi,60,Post Graduate,1,BNS,978000,100000,1078000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2343
2344,M.Iyyankalai,NAGAPATTINAM,IND,53,8th Pass,0,,2606000,0,2606000,490000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2344
2345,T.Kathiravan,NAGAPATTINAM,IND,38,Post Graduate,0,,1500235,0,1500235,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2345
2346,Sakthivel,NAGAPATTINAM,IND,47,5th Pass,0,,1574565,2700000,4274565,157562,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2346
2347,N P Bhashgaran,NAGAPATTINAM,IND,56,10th Pass,4,IPC; IPC; IPC; IPC,3225334,0,3225334,1556000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2347
2348,S.Prem,NAGAPATTINAM,IND,45,10th Pass,0,,329309,200000,529309,144255,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2348
2349,N.Vijayaragavan,NAGAPATTINAM,IND,40,Graduate,3,BNS; IPC; IPC,1547352,900000,2447352,500958,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2349
2350,Surenthar. K,KILVELUR,Puthiya Tamilagam,32,Graduate,0,,593700,500000,1093700,200000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2350
2351,Vedha Mukundhan,KILVELUR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,51,Post Graduate,0,,9315000,17000000,26315000,900000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2351
2352,Jaivishnudevi. M,KILVELUR,IND,46,Graduate,0,,762624,800000,1562624,1135200,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2352
2353,Subbiah.A,THIRUMAYAM,Puthiya Tamilagam,55,12th Pass,0,,985500,3000000,3985500,277000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2353
2354,Muthukaruppan.Cn,THIRUMAYAM,Party for the Rights of Other backward Classes,61,Post Graduate,0,,4334000,2000000,6334000,656468,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2354
2355,Ramsingh.Sk,THIRUMAYAM,Tamizhaga Vaazhvurimai Katchi,42,Post Graduate,1,IPC,225000,2500000,2725000,1550000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2355
2356,Raja.K,THIRUMAYAM,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,54,Graduate,5,IPC; IPC; IPC; IPC; IPC,1119803,1500000,2619803,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2356
2357,Eswar.S,THIRUMAYAM,IND,27,12th Pass,0,,129578,0,129578,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2357
2358,Sathishkumar.M,THIRUMAYAM,IND,32,Others,1,IPC,25000,0,25000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2358
2359,Chinnathambi.P,THIRUMAYAM,IND,46,8th Pass,0,,3037360,500000,3537360,850000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2359
2360,Subramanian.P,THIRUMAYAM,IND,58,Graduate,0,,2325000,0,2325000,960000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2360
2361,Durairajan.M,THIRUMAYAM,IND,57,8th Pass,0,,60000,0,60000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2361
2362,Ramnath.T,THIRUMAYAM,IND,32,Graduate Professional,0,,40668,0,40668,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2362
2363,Amirtha. M,PARAMAKUDI (SC),All India Puratchi Thalaivar Makkal Munnettra Kazhagam,42,Graduate,1,BNS,972000,200000,1172000,3860298,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2363
2364,Rathina Prakash. K,PARAMAKUDI (SC),Puthiya Tamilagam,46,Graduate Professional,1,IPC,198500,3000000,3198500,500000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2364
2365,Kathiravan. R,PARAMAKUDI (SC),IND,32,Graduate Professional,0,,100000,0,100000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2365
2366,Karthik Vani. B,PARAMAKUDI (SC),IND,35,12th Pass,0,,75000,0,75000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2366
2367,Muththiah. M,PARAMAKUDI (SC),IND,69,Literate,0,,368000,0,368000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2367
2368,Radha Krishnan. G,PARAMAKUDI (SC),IND,29,Graduate Professional,0,,100000,0,100000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2368
2369,Raju. A,PARAMAKUDI (SC),IND,37,Others,0,,172000,1000000,1172000,3010000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2369
2370,Raja. M,PARAMAKUDI (SC),IND,45,Post Graduate,0,,75000,0,75000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2370
2371,Mohanraj. S,SALEM (NORTH),Tamizhaga Vaazhvurimai Katchi,36,10th Pass,0,,1152000,2140000,3292000,1064000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2371
2372,Jothilakshmi. R.S,SALEM (NORTH),Vishwa Tamil Kazhagam,40,10th Pass,0,,1197500,4500000,5697500,2600000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2372
2373,Sabareesan. D,SALEM (NORTH),IND,32,Graduate,0,,857000,0,857000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2373
2374,Palanisamy. R,SALEM (NORTH),IND,55,10th Pass,0,,209843,0,209843,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2374
2375,Pravina. G,SALEM (NORTH),IND,52,Graduate Professional,0,,1409163,110000000,111409163,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2375
2376,Manivannan. S,SALEM (NORTH),IND,37,Others,0,,507000,0,507000,642000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2376
2377,Mahabub John. K,SALEM (NORTH),IND,49,10th Pass,0,,3580000,0,3580000,1170000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2377
2378,Rajasekar. S,SALEM (NORTH),IND,58,Illiterate,0,,150638,2187500,2338138,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2378
2379,Raja. A,SALEM (NORTH),IND,58,8th Pass,0,,2423500,6700000,9123500,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2379
2380,Rajendran. A,SALEM (NORTH),IND,66,8th Pass,0,,1962580,2000000,3962580,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2380
2381,Arunpandian.A,MANAMADURAI (SC),Tamizhaga Vaazhvurimai Katchi,32,Graduate,0,,1472900,0,1472900,427000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2381
2382,Arumugam.V,MANAMADURAI (SC),Republican Party of India,58,Graduate,0,,32000,3000000,3032000,650000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2382
2383,Thilagaraj.K,MANAMADURAI (SC),All India Puratchi Thalaivar Makkal Munnettra Kazhagam,33,Post Graduate,2,IPC; IPC,3618000,0,3618000,3249100,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2383
2384,Rajamanikkam.A,MANAMADURAI (SC),Puthiya Tamilagam,28,Graduate Professional,3,IPC; IPC; IPC,200000,0,200000,1236000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2384
2385,Karuppusami.V,MANAMADURAI (SC),IND,52,Graduate,0,,690000,1900000,2590000,1275000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2385
2386,Shankarganesan.S,MANAMADURAI (SC),IND,48,10th Pass,1,IPC,401800,1553780,1955580,250000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2386
2387,Sathish.T,MANAMADURAI (SC),IND,27,Graduate Professional,0,,877965,0,877965,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2387
2388,Bharathidasan.S,MANAMADURAI (SC),IND,35,Graduate Professional,0,,5007073,0,5007073,150000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2388
2389,Raju.J.M,MANAMADURAI (SC),IND,61,Post Graduate,0,,115000,500000,615000,500000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2389
