myneta_id,name,constituency,party,age,education,criminal_cases,criminal_details,movable_total,immovable_total,total_assets,liabilities,affidavit_url
1,Y.G.Mahalakshmi,ALANDUR,Naam Tamilar Katchi,33,Graduate,0,,969000,0,969000,552960,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1
2,R.Rajaram,ALANGUDI,Naam Tamilar Katchi,46,Graduate Professional,2,BNS; BNS,3284700,5000000,8284700,2636000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2
3,R Paulraj,ALANGULAM,Naam Tamilar Katchi,38,Graduate Professional,4,BNS; BNS; IPC; IPC,7810000,7850000,15660000,735000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=3
4,Dr.V.Sivasankaran,AMBASAMUDRAM,Naam Tamilar Katchi,38,Doctorate,1,IPC,6735000,8000000,14735000,1030000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=4
5,Afshia Nasrin. S,AMBUR,Naam Tamilar Katchi,42,Post Graduate,0,,4252667,0,4252667,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=5
6,M.Ravikumar,ANAIKATTU,Naam Tamilar Katchi,29,Others,0,,1022400,0,1022400,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=6
7,Aalangattur Anandhi,ANTHIYUR,Naam Tamilar Katchi,40,Post Graduate,0,,1537200,300000,1837200,580000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=7
8,S. Ravi,ARAKKONAM (SC),AIADMK,62,Graduate Professional,3,BNS; BNS; BNS,8030861,4913000,12943861,6970202,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=8
9,K. Rajkumar,ARAKKONAM (SC),Naam Tamilar Katchi,29,10th Pass,0,,3923146,3700000,7623146,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=9
10,Muthulakshmi. S,ARANTHANGI,Naam Tamilar Katchi,34,Graduate Professional,1,BNS,4246500,2200000,6446500,1975000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=10
11,Naren S,ARAVAKURICHI,Naam Tamilar Katchi,28,Post Graduate,0,,2585000,1500000,4085000,260000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=11
12,Archana Narasimman,ARCOT,Naam Tamilar Katchi,32,Post Graduate,0,,5848000,6020000,11868000,3970000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=12
13,Pugazhendhi D,ARIYALUR,Naam Tamilar Katchi,26,Others,1,BNS,186000,0,186000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=13
14,Manimaran. G,ARUPPUKOTTAI,Naam Tamilar Katchi,41,Others,0,,3462000,1500000,4962000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=14
15,Dr. A. Simon Justin,ATHOOR,Naam Tamilar Katchi,44,Doctorate,6,IPC; BNS; IPC; BNS; IPC; BNS,567764,3500000,4067764,350000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=15
16,Monisha Chinnadurai,ATTUR (SC),Naam Tamilar Katchi,36,Graduate Professional,0,,6614000,12486000,19100000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=16
17,Punitha Shanmugam,AVADI,Naam Tamilar Katchi,32,Doctorate,0,,1238995,0,1238995,133000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=17
18,Menaka. V,AVANASHI (SC),Naam Tamilar Katchi,28,Graduate,0,,591938,0,591938,63000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=18
19,Kavinkumar. S,BARGUR,Naam Tamilar Katchi,31,Graduate Professional,0,,5410612,7443000,12853612,4156000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=19
20,S.Soundarya,BHAVANISAGAR (SC),Naam Tamilar Katchi,26,12th Pass,0,,711760,0,711760,135010,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=20
21,Sumathi . S,BHUVANAGIRI,Naam Tamilar Katchi,52,Post Graduate,0,,7805000,0,7805000,3500000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=21
22,Kalaiarasu.S,BODINAYAKKANUR,Naam Tamilar Katchi,61,Doctorate,0,,25682882,19100000,44782882,6394063,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=22
23,Amutha.N,CHENGALPATTU,Naam Tamilar Katchi,56,Graduate,0,,2363000,0,2363000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=23
24,J.Shoba,CHENGAM (SC),Naam Tamilar Katchi,31,Post Graduate,0,,3150000,120000,3270000,810000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=24
25,Tamilselvan. M,CHEYYAR,Naam Tamilar Katchi,25,Graduate Professional,0,,742300,0,742300,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=25
26,Swathilakshmi Sekar,CHEYYUR (SC),Naam Tamilar Katchi,31,Graduate,0,,1246200,0,1246200,2233634,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=26
27,Thamizh,CHIDAMBARAM,Naam Tamilar Katchi,35,Post Graduate,2,IPC; IPC,801000,0,801000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=27
28,Narmadha. G.,COIMBATORE (NORTH),Naam Tamilar Katchi,44,Post Graduate,0,,9184351,30500000,39684351,1750000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=28
29,Perarivalan. V,COIMBATORE (SOUTH),Naam Tamilar Katchi,25,10th Pass,1,IPC,58134,0,58134,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=29
30,Ancy Shoba Rani. L,COLACHAL,Naam Tamilar Katchi,38,Post Graduate,4,BNS; BNS; BNS; BNS,27337023,35030000,62367023,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=30
31,K. Deenu,COONOOR,Naam Tamilar Katchi,37,Graduate,0,,1016992,0,1016992,857126,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=31
32,S.Sarasu,CUDDALORE,Naam Tamilar Katchi,40,Post Graduate,0,,1725000,15000000,16725000,810000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=32
33,Anbuselvi A,CUMBUM,Naam Tamilar Katchi,57,Post Graduate,0,,4592033,5000000,9592033,213500,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=33
34,Shanthalakshmi. K.,DHARMAPURI,Naam Tamilar Katchi,50,Post Graduate,0,,2034015,2400000,4434015,160000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=34
35,Mutharasi. S,DINDIGUL,Naam Tamilar Katchi,35,Post Graduate,0,,524344,15000000,15524344,700000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=35
36,N. Marie Wilson,DR.RADHAKRISHNAN NAGAR,Tamilaga Vettri Kazhagam,46,Doctorate,2,IPC; IPC,41872580,51999000,93871580,40648069,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=36
37,Vennila.T,DR.RADHAKRISHNAN NAGAR,Naam Tamilar Katchi,42,Post Graduate,0,,13191000,0,13191000,1691620,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=37
38,Priyadharshini. A,EDAPPADI,Naam Tamilar Katchi,37,Post Graduate,0,,4889363,0,4889363,526236,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=38
39,Saranya Imran,EGMORE (SC),Naam Tamilar Katchi,35,Graduate,0,,1867700,0,1867700,204000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=39
40,S.Thandavamoorthy,ERODE (EAST),Naam Tamilar Katchi,42,Graduate,1,IPC,7498500,25500000,32998500,2922000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=40
41,N. Vijay,ERODE (WEST),Naam Tamilar Katchi,40,Post Graduate,1,BNS,668000,1900000,2568000,1528681,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=41
42,Nathiya,GANDARVAKOTTAI (SC),Naam Tamilar Katchi,35,Post Graduate,1,BNS,772620,0,772620,520000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=42
43,Abirami. A,GANGAVALLI (SC),Naam Tamilar Katchi,31,10th Pass,0,,3988200,0,3988200,1704144,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=43
44,Sengottaiyan.K.A,GOBICHETTIPALAYAM,Tamilaga Vettri Kazhagam,78,10th Pass,3,IPC; IPC; BNS,96730213,60473973,157204186,5948518,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=44
45,Seethalakshmi.M.K,GOBICHETTIPALAYAM,Naam Tamilar Katchi,51,Post Graduate,4,IPC; IPC; BNS; IPC,4018170,4050000,8068170,230000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=45
46,Karthik.R,GUDALUR (SC),Naam Tamilar Katchi,31,Graduate,1,,2372161,0,2372161,982272,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=46
47,J.Emalan,GUDIYATTAM (SC),Naam Tamilar Katchi,73,Post Graduate,0,,7504438,1157902,8662340,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=47
48,R.Sridar. B.L.,GUMMIDIPOONDI,Naam Tamilar Katchi,54,Graduate Professional,0,,6616065,8608333,15224398,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=48
49,Stalin.R,HOSUR,Naam Tamilar Katchi,29,Graduate,0,,308400,0,308400,55931,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=49
50,Revathi K.,JAYANKONDAM,Naam Tamilar Katchi,37,Post Graduate,0,,309000,0,309000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=50
51,Sasirekha K,JOLARPET,Naam Tamilar Katchi,37,Graduate Professional,0,,3166828,3840000,7006828,2411000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=51
52,Abubacker Siddheeq,KADAYANALLUR,Naam Tamilar Katchi,27,Graduate Professional,0,,1218403,0,1218403,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=52
53,Seetha Sivanandam. P,KALASAPAKKAM,Naam Tamilar Katchi,36,Post Graduate,0,,435000,600000,1035000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=53
54,Nagammal R,KALLAKURICHI (SC),Naam Tamilar Katchi,35,Post Graduate,0,,6509092,8600000,15109092,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=54
55,Vetriselvi,KANCHEEPURAM,Naam Tamilar Katchi,52,Post Graduate,0,,2067500,3300000,5367500,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=55
56,Maria Jennifer,KANNIYAKUMARI,Naam Tamilar Katchi,44,Post Graduate,0,,25395100,45700000,71095100,23726527,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=56
57,Seeman,KARAIKUDI,Naam Tamilar Katchi,60,Graduate,24,IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; BNS; BNS; IPC; BNS; BNS; BNS; BNS; BNS; BNS; IPC,29688680,8700000,38388680,2350000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=57
58,Dr.Prabhu. Tk,KARAIKUDI,Tamilaga Vettri Kazhagam,41,Post Graduate,0,,52733087,61250000,113983087,32689343,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=58
59,M.R. Vijayabhaskar,KARUR,AIADMK,62,10th Pass,31,IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; BNS; BNS; BNS; IPC; IPC; BNS; IPC; IPC; BNS; BNS; BNS; BNS; IPC; IPC; IPC; IPC; BNS; BNS; BNS; IPC,116412718,72802420,189215138,55362173,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=59
60,Karuppaiya. R,KARUR,Naam Tamilar Katchi,60,Post Graduate,1,,19765509,62340000,82105509,2291570,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=60
61,S. Thirukkumaran,KATPADI,Naam Tamilar Katchi,40,Post Graduate,0,,11960054,6811459,18771513,8375000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=61
62,Sivajothi .M,KATTUMANNARKOIL (SC),Naam Tamilar Katchi,41,Graduate,3,IPC; IPC; IPC,3354500,1250000,4604500,385000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=62
63,Kalamani Jaganathan,KAVUNDAMPALAYAM,Naam Tamilar Katchi,38,Graduate,0,,13121010,18000000,31121010,9201528,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=63
64,Himlar,KILLIYOOR,Naam Tamilar Katchi,32,Graduate Professional,1,IPC,450720,1800000,2250720,209979,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=64
65,Loganathan.V,KILPENNATHUR,Naam Tamilar Katchi,40,Graduate Professional,0,,4692648,9000800,13693448,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=65
66,Kalaiyenthiri. R,KILVAITHINANKUPPAM (SC),Naam Tamilar Katchi,35,Graduate Professional,0,,809773,700000,1509773,2112853,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=66
67,Karthika. M,KILVELUR,Naam Tamilar Katchi,36,Graduate Professional,1,IPC,2892500,13000000,15892500,10050000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=67
68,Banupriya M,KINATHUKADAVU,Naam Tamilar Katchi,42,Graduate,0,,5219938,103302500,108522438,8597687,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=68
69,Soundara Pandian Luder Seth,KOLATHUR,Naam Tamilar Katchi,53,Graduate Professional,0,,2913137,1500000,4413137,953210,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=69
70,M. K. Stalin,KOLATHUR,DMK,72,Graduate,0,,46321134,50703804,97024938,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=70
71,Pandi.P,KOVILPATTI,Naam Tamilar Katchi,35,Graduate Professional,0,,6702000,2150000,8852000,1100000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=71
72,Suganthi,KRISHNAGIRI,Naam Tamilar Katchi,53,Graduate,0,,5051519,7000000,12051519,7580000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=72
73,Sathiya. V,KRISHNARAYAPURAM (SC),Naam Tamilar Katchi,32,Post Graduate,0,,331500,0,331500,155431,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=73
74,Uvarani Suresh,KUMARAPALAYAM,Naam Tamilar Katchi,39,Post Graduate,0,,13770253,8010000,21780253,720576,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=74
75,Anandh M,KUMBAKONAM,Naam Tamilar Katchi,39,Graduate Professional,7,BNS; IPC; IPC; IPC; IPC; IPC; IPC,4624106,3000000,7624106,6543230,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=75
76,Anbalagan G,KUMBAKONAM,DMK,77,10th Pass,0,,178542675,334000000,512542675,170379559,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=76
77,Keerthivasan. R,KUNNAM,Naam Tamilar Katchi,26,Graduate Professional,1,BNS,5418433,4530000,9948433,4465000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=77
78,N. Madhan,LALGUDI,Naam Tamilar Katchi,30,Graduate Professional,0,,13550000,150000,13700000,300000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=78
79,M Radhamani,MADATHUKULAM,Naam Tamilar Katchi,38,Post Graduate,0,,7016278,5500000,12516278,343913,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=79
80,E.Krithika,MADHAVARAM,Naam Tamilar Katchi,28,Graduate,0,,6481572,0,6481572,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=80
81,Selvam K,MADURAI EAST,Naam Tamilar Katchi,46,Graduate Professional,0,,7942810,12000000,19942810,1585000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=81
82,V Thirunavukkarasu,MADURAI NORTH,Naam Tamilar Katchi,44,Post Graduate,0,,10642319,7480000,18122319,2641318,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=82
83,B.M.Sumathy,MADURAI SOUTH,Naam Tamilar Katchi,46,Post Graduate,0,,2351155,100000,2451155,2539725,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=83
84,Vigneshkumar S,MADURAI WEST,Naam Tamilar Katchi,29,Graduate Professional,0,,2784000,4500000,7284000,2800000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=84
85,G.Janakiraman,MADURANTAKAM (SC),Naam Tamilar Katchi,33,Post Graduate,0,,3224358,960000,4184358,2843000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=85
86,Revathi L,MADHURAVOYAL,Naam Tamilar Katchi,32,8th Pass,0,,546243,0,546243,610000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=86
87,Vidjaivikram S,MAILAM,Naam Tamilar Katchi,37,Post Graduate,0,,4997880,2443000,7440880,20153989,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=87
88,Thenmozhi. R,MANACHANALLUR,Naam Tamilar Katchi,31,Post Graduate,0,,762499,2000000,2762499,180000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=88
89,Kathiravan. S,MANACHANALLUR,DMK,51,Graduate Professional,14,IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC,562800000,972200000,1535000000,375400000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=89
90,Shanmugapriya.M,MANAMADURAI (SC),Naam Tamilar Katchi,33,12th Pass,0,,3200000,5000000,8200000,550000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=90
91,M. Arunagiri,MANAPPARAI,Naam Tamilar Katchi,36,Post Graduate,2,BNS; BNS,2264000,0,2264000,177660,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=91
92,Bharathiselvan.R,MANNARGUDI,Naam Tamilar Katchi,68,Post Graduate,19,BNS; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC; IPC,36576433,36620500,73196933,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=92
93,Kasiraman. K,MAYILADUTHURAI,Naam Tamilar Katchi,53,Others,0,,2320791,32500000,34820791,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=93
94,Kottaikumar,MELUR,Naam Tamilar Katchi,58,Graduate Professional,0,,16548000,10000000,26548000,6230000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=94
95,S.Gopalakrishnan,METTUPALAYAM,Naam Tamilar Katchi,42,Others,0,,10171271,15000000,25171271,2019000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=95
96,Vidhya Veerappan,METTUR,Naam Tamilar Katchi,35,12th Pass,0,,698120,0,698120,350000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=96
97,M.Arunkumar,MODAKKURICHI,Naam Tamilar Katchi,45,Graduate,2,IPC; IPC,6418500,9000000,15418500,1131380,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=97
98,Chandra Prabha Jeyapal,MUDUKULATHUR,Naam Tamilar Katchi,56,Post Graduate,0,,4910632,300000,5210632,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=98
99,G. Bakiyalakshmi,MUSIRI,Naam Tamilar Katchi,37,Graduate Professional,0,,4982000,1500000,6482000,2935000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=99
100,Venkataramanan. P,MYLAPORE,Tamilaga Vettri Kazhagam,48,Post Graduate,0,,32284284,21800000,54084284,2550000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=100
101,Arun. R.L,MYLAPORE,Naam Tamilar Katchi,33,Graduate,0,,8799109,26000000,34799109,1070626,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=101
102,Fathima Farhana.S,NAGAPATTINAM,Naam Tamilar Katchi,31,Post Graduate,0,,1625513,0,1625513,150000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=102
103,Muthukumar M,NAGERCOIL,Naam Tamilar Katchi,38,Others,4,BNS; BNS; BNS; BNS,5693230,13000000,18693230,6640886,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=103
104,S. Selvam,NANGUNERI,Naam Tamilar Katchi,44,Graduate,2,BNS; BNS,3999522,5000000,8999522,2756800,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=104
105,Thenmozhi Dilipkumar,NANNILAM,Naam Tamilar Katchi,48,Post Graduate,0,,10606718,83264000,93870718,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=105
106,Alagammal A,NATHAM,Naam Tamilar Katchi,36,Graduate,3,BNS; IPC; IPC,520300,0,520300,55000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=106
107,Veeramani.B,NEYVELI,Naam Tamilar Katchi,46,Others,4,BNS; BNS; BNS; IPC,7793628,5600000,13393628,4668600,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=107
108,D.Kailai Rajan,NILAKKOTTAI (SC),Naam Tamilar Katchi,74,Post Graduate,0,,15957386,20000000,35957386,5943000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=108
109,Ragupathi. P,ODDANCHATRAM,Naam Tamilar Katchi,56,Post Graduate,1,IPC,5317953,16000000,21317953,304000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=109
111,S.Thirumurugan,ORATHANADU,Naam Tamilar Katchi,46,10th Pass,0,,3876000,17500000,21376000,8597000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=111
112,M. Anusiya,OTTAPIDARAM (SC),Naam Tamilar Katchi,31,Post Graduate,0,,5934764,100000,6034764,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=112
113,Boopathi. R.,PALACODE,Naam Tamilar Katchi,50,Post Graduate,0,,10003000,59600000,69603000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=113
114,Murugeswari. B,PALANI,Naam Tamilar Katchi,27,Graduate,0,,48000,300000,348000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=114
115,Sankara Narayanan Alias Saran,PALAYAMKOTTAI,Naam Tamilar Katchi,28,Post Graduate,0,,44874667,0,44874667,3400000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=115
116,K.V.Thamiliniyan,PALLADAM,Naam Tamilar Katchi,28,Graduate,0,,2669925,0,2669925,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=116
117,Dr.R.Karthikeyan,PALLAVARAM,Naam Tamilar Katchi,38,Post Graduate,0,,47075713,39015000,86090713,7193263,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=117
118,Banupriya. M,PANRUTI,Naam Tamilar Katchi,32,Post Graduate,0,,1247000,0,1247000,538000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=118
119,Anis Fathima,PAPANASAM,Naam Tamilar Katchi,25,Graduate Professional,0,,642000,0,642000,458000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=119
120,Ezhil Elavarasi. R,PARAMAKUDI (SC),Naam Tamilar Katchi,38,Graduate Professional,0,,6635975,0,6635975,2097000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=120
121,Kannan S,PATTUKKOTTAI,Naam Tamilar Katchi,53,Others,0,,9136000,14588500,23724500,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=121
122,Palaniyammal. T.,PENNAGARAM,Naam Tamilar Katchi,30,Post Graduate,1,BNS,2742427,1000000,3742427,594200,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=122
124,C. Joseph Vijay,PERAMBUR,Tamilaga Vettri Kazhagam,51,Graduate,2,BNS; BNS,4262028397,2226562010,6488590407,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=124
125,S. Vetri Thamizhan,PERAMBUR,Naam Tamilar Katchi,40,Post Graduate,0,,1330000,0,1330000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=125
126,Vimala R.,PERIYAKULAM (SC),Naam Tamilar Katchi,43,Graduate Professional,0,,1093600,1400000,2493600,130000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=126
127,Ingur. C. Loganathan,PERUNDURAI,Naam Tamilar Katchi,48,Others,1,IPC,4047670,6964031,11011701,598000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=127
128,N. Senthil Kumar,POLLACHI,Naam Tamilar Katchi,51,Post Graduate,0,,17167871,126600000,143767871,12491000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=128
129,Umadevi. A,POLUR,Naam Tamilar Katchi,42,Graduate,0,,4934634,3721000,8655634,3578457,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=129
130,Rajathi.M,PONNERI (SC),Naam Tamilar Katchi,34,Graduate,0,,88000,0,88000,700000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=130
131,Ilayanagulan. K,POOMPUHAR,Naam Tamilar Katchi,41,Post Graduate,0,,440000,0,440000,1700000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=131
132,Mekala.J,POONAMALLEE (SC),Naam Tamilar Katchi,45,Post Graduate,0,,766000,0,766000,171172,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=132
133,Ezhilarasi Vijayendran,PUDUKKOTTAI,Naam Tamilar Katchi,35,Post Graduate,1,IPC,8730000,6700000,15430000,4528160,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=133
134,Girija Thamaraipandian.D,RADHAPURAM,Naam Tamilar Katchi,42,Doctorate,1,BNS,5344739,1874060,7218799,1115444,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=134
135,Dr. Karthikeyan. T.E.,RAJAPALAYAM,Naam Tamilar Katchi,33,Graduate Professional,2,BNS; BNS,45700000,100000000,145700000,125109885,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=135
136,S.M. Muthu Kesavan,RAMANATHAPURAM,Naam Tamilar Katchi,32,Graduate,0,,13240000,4000000,17240000,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=136
137,Sasikala S,RASIPURAM(SC),Naam Tamilar Katchi,36,Graduate,0,,1202500,1450000,2652500,392000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=137
138,Radhika P,RISHIVANDIYAM,Naam Tamilar Katchi,32,Graduate,0,,5509772,5000000,10509772,440000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=138
139,A. Babu Mailan,ROYAPURAM,Naam Tamilar Katchi,54,Others,0,,832000,2580000,3412000,4658722,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=139
140,Srividya. G,SAIDAPET,Naam Tamilar Katchi,46,Graduate,0,,1744900,9100000,10844900,5945000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=140
141,Subramanian. Ma,SAIDAPET,DMK,66,Graduate Professional,1,IPC,9152610,4500000,13652610,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=141
142,Gunaseela. M,SALEM (NORTH),Naam Tamilar Katchi,39,Post Graduate,0,,1504260,7500000,9004260,10111011,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=142
143,Sofia. S,SALEM (SOUTH),Naam Tamilar Katchi,33,Post Graduate,0,,4896831,13500000,18396831,4540386,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=143
144,Suresh Kumar.R,SALEM (WEST),Naam Tamilar Katchi,40,Post Graduate,0,,7877679,3800000,11677679,2732390,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=144
145,M. Kavitha,SANKARANKOVIL (SC),Naam Tamilar Katchi,41,Graduate,0,,3277344,0,3277344,120000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=145
146,Ramesh K,SANKARAPURAM,Naam Tamilar Katchi,35,Graduate Professional,0,,708000,0,708000,1636225,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=146
147,Nithya. A,SANKARI,Naam Tamilar Katchi,36,Post Graduate,0,,29480630,8500000,37980630,12400000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=147
148,Anandharaja. D.,SATTUR,Naam Tamilar Katchi,49,Graduate,0,,7454277,4000000,11454277,2098000,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=148
